Date,Open,High,Low,Close,Volume,Adj Close
2018/11/16,389.25,391.14,384.32,384.77,12471800,374.21
2018/11/17,383.98,384.58,375.5,377.41,17139300,367.05
2018/11/18,378.92,379.99,374.88,374.94,13283500,364.65
2018/11/21,370.4,371.68,365.91,369.01,15999300,358.88
2018/11/22,371.02,377.93,370.94,376.51,14607900,366.18
2018/11/23,374.51,375.84,366.88,366.99,15295400,356.92
2018/11/25,368.42,371.15,363.32,363.57,9098600,353.59
2018/11/28,372.35,376.72,370.33,376.12,12371900,365.8
2018/11/29,375.84,378.83,370.2,373.2,13423400,362.96
2018/11/30,381.29,382.28,378.3,382.2,14497800,371.71
2018/12/1,382.54,389,380.75,387.93,13827900,377.28
2018/12/2,389.83,393.63,388.58,389.7,13537700,379
2018/12/5,393.49,396.41,390.39,393.01,12757500,382.22
2018/12/6,392.51,394.63,389.38,390.95,10128500,380.22
2018/12/7,389.93,390.94,386.76,389.09,10883800,378.41
2018/12/8,391.45,395.5,390.23,390.66,13441300,379.94
2018/12/9,392.85,394.04,391.03,393.62,10606900,382.82
2018/12/12,391.68,393.9,389.45,391.84,10752400,381.09
2018/12/13,393,395.4,387.1,388.81,12104600,378.14
2018/12/14,386.7,387.38,377.68,380.19,14531700,369.75
2018/12/15,383.33,383.74,378.31,378.94,9150000,368.54
2018/12/16,380.36,384.15,379.57,381.02,15052800,370.56
2018/12/19,382.47,384.85,380.48,382.21,8411800,371.72
2018/12/20,387.76,396.1,387.26,395.95,12043400,385.08
2018/12/21,396.69,397.3,392.01,396.45,9391000,385.57
2018/12/22,397,399.13,396.1,398.55,7227100,387.61
2018/12/23,399.69,403.59,399.49,403.33,9621400,392.26
2018/12/27,403.1,409.09,403.02,406.53,9467000,395.37
2018/12/28,406.89,408.25,401.34,402.64,8166500,391.59
2018/12/29,403.4,405.65,400.51,405.12,7713500,394
2018/12/30,403.51,406.28,403.49,405,6416500,393.88
2019/1/3,409.4,412.5,409,411.23,10793600,399.94
2019/1/4,410,414.68,409.28,413.44,9286500,402.09
2019/1/5,414.95,418.55,412.67,418.03,9688200,406.56
2019/1/6,419.77,422.75,419.22,422.4,11367600,410.81
2019/1/9,425.5,427.75,421.35,421.73,14072300,410.15
2019/1/10,425.91,426,421.5,423.24,9221300,411.62
2019/1/11,422.68,422.85,419.31,422.55,7681600,410.95
2019/1/12,422.28,422.9,418.75,421.39,7592400,409.82
2019/1/13,419.7,420.45,418.66,419.81,8072200,408.29
2019/1/17,424.2,425.99,422.96,424.7,8674900,413.04
2019/1/18,426.96,429.47,426.3,429.11,9885400,417.33
2019/1/19,430.15,431.37,426.51,427.75,9347800,416.01
2019/1/20,427.49,427.5,419.75,420.3,14784800,408.76
2019/1/23,422.67,428.45,422.3,427.41,10930800,415.68
2019/1/24,425.1,425.1,419.55,420.41,19558500,408.87
2019/1/25,454.44,454.45,443.73,446.66,34225500,434.4
2019/1/26,448.36,448.79,443.14,444.63,11570900,432.43
2019/1/27,444.34,448.48,443.77,447.28,10703900,435
2019/1/30,445.71,453.9,445.39,453.01,13547900,440.58
2019/1/31,455.59,458.24,453.07,456.48,13988700,443.95
2019/2/1,458.41,458.99,455.55,456.19,9644500,443.67
2019/2/2,455.9,457.17,453.98,455.12,6671300,442.63
2019/2/3,457.3,460,455.56,459.68,10235700,447.06
2019/2/6,458.38,464.98,458.2,463.97,8907600,451.24
2019/2/7,465.25,469.75,464.58,468.83,11293700,455.96
2019/2/8,470.5,476.79,469.7,476.68,14567500,463.6
2019/2/9,480.76,496.75,480.56,493.17,31579100,479.63
2019/2/10,490.96,497.62,488.55,493.42,22546500,479.88
2019/2/13,499.53,503.83,497.09,502.6,18472000,488.81
2019/2/14,504.66,509.56,502,509.46,16442800,495.48
2019/2/15,514.26,526.29,496.89,497.67,53790000,484.01
2019/2/16,491.5,504.89,486.63,502.21,33734000,488.43
